network,node,tier,truth,surrogate,tabular_gbt,tabular_gbt_l1,tabular_ridge,topology_heuristic,sole_source_reach,downstream_reach
shift_2,31,2,0,0.0300572,0,0,0.0015217,1.37088,0,6
shift_2,32,2,0,0.030058,0,0,0.0143898,2.96979,1,7
shift_2,33,2,0.0958679,0.0300643,0,0,0.0318988,4.58438,2,8
shift_2,34,2,0,0.0300567,0,0,0,0,0,0
shift_2,35,2,0,0.0300628,0,0,0.0111744,2.37195,1,6
shift_2,36,2,0,0.0300566,0,0,0.0111551,1.73514,0,7
shift_2,37,2,0.0375408,0.0315944,0,0,0.0117597,4.65424,2,8
shift_2,38,2,0,0.0300569,0,0,0.00731752,3.36464,1,7
shift_2,39,2,0,0.0300568,0,0,0,1.74795,0,7
shift_2,40,3,0,0.030058,0,0,0.00766971,1.8664,0,7
shift_2,41,3,0,0.0300579,0,0,0.00600091,0.875596,0,4
shift_2,42,3,0,0.0300599,0,0,0.00564834,3.27882,1,5
shift_2,43,3,0,0.0300591,0,0,0.00552021,1.86515,0,7
shift_2,44,3,0.263668,0.0301674,0.182657,0,0.0136573,3.97083,2,7
shift_2,45,3,0,0.0300652,0,0,0.00839045,3.7962,1,6
shift_3,0,0,0,0.0299841,0,0,0.0268314,1.81091,0,8
shift_3,1,0,0,0.0299841,0,0,0.0158128,1.50702,0,8
shift_3,2,0,0,0.0299841,0,0,0.00211108,1.77878,0,8
shift_3,3,0,0,0.0299841,0,0,0.0189644,1.54137,0,7
shift_3,4,0,0,0.0299841,0,0,0.0979841,4.07063,1,8
shift_3,5,0,0.0159916,0.0299841,0,0,0.0779388,2.66069,0,8
shift_3,6,0,0,0.0299841,0,0,0,0,0,0
shift_3,7,0,0.0154545,0.0299841,0,0,0.0582596,2.45026,0,8
shift_3,8,0,0,0.0299841,0,0,0.0161665,1.65244,0,8
shift_3,9,0,0,0.0299841,0,0,0.00284214,1.57044,0,8
shift_3,10,0,0,0.0299841,0,0,0,0.0978178,0,0
shift_3,11,0,0,0.0299841,0,0,0,0,0,0
shift_3,12,0,0,0.0299841,0,0,0.00643656,1.75031,0,8
shift_3,13,0,0,0.0299841,0,0,0.00145136,1.51597,0,8
shift_3,14,0,0,0.0299841,0.0241783,0,0.015846,1.45118,0,8
shift_3,15,0,0.00512931,0.0299841,0.0184337,0,0.0839034,2.35602,0,8
shift_3,16,1,0,0.0299841,0,0,0,0.0978178,0,0
shift_3,17,1,0,0.0299841,0,0,0.0143181,1.51192,0,8
shift_3,18,1,0,0.0299841,0,0,0.011053,2.21298,0,8
shift_3,19,1,0,0.0299841,0,0,0,0,0,0
shift_3,20,1,0,0.0299841,0,0,0.0372155,1.35433,0,7
shift_3,21,1,0.0262179,0.0299841,0.00791263,0,0.031939,2.61583,0,8
shift_3,22,1,0,0.0299841,0.00698949,0,0,0.0978178,0,0
shift_3,23,1,0,0.0299841,0,0,0,0,0,0
shift_3,24,1,0,0.0299841,0,0,0.0215489,1.63422,0,8
shift_3,25,1,0.0558118,0.0299841,0,0,0.0210472,1.90261,0,8
shift_3,26,1,0.00231263,0.0299841,0,0,0.00318491,1.55505,0,7
shift_3,27,1,0.125239,0.0299841,0.206794,0,0.0676981,4.26287,1,8
shift_3,28,1,0,0.0299841,0,0,0,0.758,0,7
shift_3,29,1,0,0.0299841,0,0,0.0153143,1.79315,0,8
shift_3,30,2,0.109659,0.0299898,0,0,0.0138742,3.48013,1,7
shift_3,31,2,0.150492,0.0299847,0,0,0.021617,4.41298,1,8
shift_3,32,2,0,0.0299841,0.00731561,0,0.00194231,1.50043,0,7
shift_3,33,2,0,0.0299841,0,0,0,0,0,0
shift_3,34,2,0.0127214,0.0299841,0,0,0.0165215,1.98349,0,7
shift_3,35,2,0,0.0299841,0,0,0,0,0,0
shift_3,36,2,0.0495699,0.0299845,0,0,0.00550443,1.15468,0,7
shift_3,37,2,0.0767327,0.0299844,0,0,0.0214027,1.86341,0,7
shift_3,38,2,0.155191,0.0300319,0,0,0.0424074,3.81441,1,8
shift_3,39,2,0,0.0299889,0,0,0.0032119,1.03244,0,7
shift_3,40,3,0.316645,0.0386682,0,0,0.0125206,5.41524,2,6
